WIGOS ID,WMO INDEX,ICAO,Name,Country,Latitude,Longitude,Altitude,Established,Closed
0-0-0-MISSING,-----,EGAE,Eglinton / Londonderr,United Kingdom,55-03N,007-09W,9,----,----
0-0-0-MISSING,-----,EGBE,Coventry Airport ,United Kingdom,52-22N,001-29W,82,----,----
0-0-0-MISSING,-----,EGBJ,Staverton Private ,United Kingdom,51-54N,002-10W,29,----,----
0-0-0-MISSING,-----,EGDK,Kemble Royal Air Force Base ,United Kingdom,51-40N,002-03W,133,----,----
0-20000-0-03716,-----,EGDX,St Athan Royal Air Force Base,United Kingdom,51-24N,003-26W,50,----,----
0-20000-0-03111,-----,EGEC,Campbeltown,United Kingdom,55-26-14N,005-41-11W,13,----,----
0-0-0-MISSING,-----,EGFH,Swansea,United Kingdom,51-36N,004-04W,90,----,----
0-0-0-MISSING,-----,EGGD,Bristol / Lulsgate ,United Kingdom,51-23N,002-43W,189,----,----
0-0-0-MISSING,-----,EGGP,Liverpool Airport ,United Kingdom,53-20N,002-51W,26,----,----
0-0-0-MISSING,-----,EGGW,Luton Airport ,United Kingdom,51-52N,000-22W,160,----,----
0-0-0-MISSING,-----,EGHD,Plymouth / Roborough,United Kingdom,50-25N,004-07W,144,----,----
0-0-0-MISSING,-----,EGJA,Alderney / Channel Island,United Kingdom,49-43N,002-12W,71,----,----
0-0-0-MISSING,-----,EGKB,Biggin Hill ,United Kingdom,51-19N,000-02E,183,----,----
0-0-0-MISSING,-----,EGLC,London City Airport,United Kingdom,51-30N,000-03E,5,----,----
0-0-0-MISSING,-----,EGMC,Southend-On-Sea ,United Kingdom,51-34N,000-42E,15,----,----
0-0-0-MISSING,-----,EGMD,Lydd Airport ,United Kingdom,50-57N,000-56E,3,----,----
0-20000-0-03797,-----,EGMH,"Manston, South East",United Kingdom,51-20-31N,001-20-46E,55,----,----
0-0-0-MISSING,-----,EGNJ,Humberside,United Kingdom,53-35N,000-21W,31,----,----
0-0-0-MISSING,-----,EGNM,Leeds And Bradford,United Kingdom,53-52N,001-39W,208,----,----
0-0-0-MISSING,-----,EGNT,Newcastle ,United Kingdom,55-02N,001-42W,81,----,----
0-0-0-MISSING,-----,EGNV,Tees-Side,United Kingdom,54-31N,001-25W,37,----,----
0-0-0-MISSING,-----,EGNX,East Midlands,United Kingdom,52-50N,001-20W,94,----,----
0-0-0-MISSING,-----,EGOD,Llanbedr,United Kingdom,52-49N,004-08W,9,----,----
0-826-0-03317,-----,EGOW,Woodvale,United Kingdom,53-34-54N,003-03-20W,11,----,----
0-20000-0-03105,-----,EGPI,Islay,United Kingdom,55-40-55N,006-15-24W,16,----,----
0-0-0-MISSING,-----,EGPM,Scatsta / Shetland Island,United Kingdom,60-26N,001-18W,22,----,----
0-0-0-MISSING,-----,EGPN,Dundee / Riverside,United Kingdom,56-27N,003-01W,4,----,----
0-0-0-MISSING,-----,EGPT,Perth / Scone ,United Kingdom,56-27N,003-22W,121,----,----
0-0-0-MISSING,-----,EGPW,Unst Island,United Kingdom,60-44N,000-49W,285,----,----
0-0-0-MISSING,-----,EGSC,Cambridge,United Kingdom,52-12N,000-11E,15,----,----
0-0-0-MISSING,-----,EGSY,"Yorkshire and Humberside, Sheffield City",United Kingdom,53-23-39N,001-23-18W,70,----,----
0-0-0-MISSING,-----,EGTC,Cranfield,United Kingdom,52-04N,000-37W,111,----,----
0-20000-0-03628,-----,EGTG,Filton Private ,United Kingdom,51-31N,002-35W,69,----,----
0-0-0-MISSING,-----,EGTH,Hatfeild Private ,United Kingdom,51-46N,000-15W,77,----,----
0-0-0-MISSING,-----,EGUA,Upper Heyford Royal Air Force Base ,United Kingdom,51-56N,001-15W,134,----,----
0-0-0-MISSING,-----,EGUO,Colerne,United Kingdom,51-26-21N,002-17-11W,181,----,----
0-0-0-MISSING,-----,EGUP,Sculthorpe Af Met ,United Kingdom,52-51N,000-46E,65,----,----
0-0-0-MISSING,-----,EGVG,Woodbridge Royal Air Force Base ,United Kingdom,52-05N,001-24E,29,----,----
0-0-0-MISSING,-----,EGVI,Greenham Common Royal Air Force Base,United Kingdom,51-23N,001-17W,122,----,----
0-0-0-MISSING,-----,EGVJ,Bentwaters Royal Air Force Base ,United Kingdom,52-08N,001-26E,26,----,----
0-826-0-69,-----,EGWC,Cosford Royal Air Force Base,United Kingdom,52-38N,002-18W,83,----,----
0-0-0-MISSING,-----,EGXF,Cowden,United Kingdom,53-51N,006-06W,15,----,----
0-0-0-MISSING,-----,EGXN,Newton,United Kingdom,52-58N,000-59W,55,----,----
0-20000-0-03373,-----,EGXP,Scampton,United Kingdom,53-18-27N,000-33-03W,62,----,----
0-20000-0-03265,-----,EGXZ,Topcliffe Royal Air Force Base ,United Kingdom,54-12N,001-23W,28,----,----
